Population,Country,# of computers in TOP500 ranking,Maximum performance (TFlops)
333287557,United States,172,"6,475,559"
125124989,Japan,34,"940,710"
58856847,Italy,13,"837,788"
8769741,Switzerland,5,"473,517"
84079811,Germany,41,"405,341"
5556880,Finland,3,"391,388"
1412175000,China,63,"319,062"
67749632,France,24,"298,086"
47615034,Spain,3,"221,873"
51628117,South Korea,13,"213,091"
23412899,Taiwan,7,"103,541"
17942942,Netherlands,10,"98,364"
36408820,Saudi Arabia,7,"96,036"
66971411,United Kingdom,14,"84,814"
143555736,Russia,6,"71,457"
,Other,84,"697,330"
