country,source_type,n_documents,avg_sentiment,positive_share,negative_share
Argentina,NewsAPI,15,0.073653333,0.533333333,0.266666667
Australia,NewsAPI,15,0.110586667,0.533333333,0.4
Austria,NewsAPI,14,0.572371429,0.857142857,0.142857143
Belgium,NewsAPI,14,0.387628571,0.857142857,0.142857143
Bulgaria,NewsAPI,13,-0.138453846,0.461538462,0.461538462
Canada,NewsAPI,13,0.088476923,0.538461538,0.384615385
Chile,NewsAPI,15,0.318926667,0.6,0.2
China,NewsAPI,14,0.003878571,0.428571429,0.5
Colombia,NewsAPI,15,0.35258,0.666666667,0.266666667
Czech Republic,NewsAPI,15,0.318386667,0.666666667,0.266666667
Denmark,NewsAPI,14,0.23385,0.642857143,0.285714286
Finland,NewsAPI,15,0.52408,0.866666667,0.066666667
France,NewsAPI,15,0.105006667,0.466666667,0.466666667
Germany,NewsAPI,15,0.181606667,0.6,0.333333333
Greece,NewsAPI,15,0.17702,0.533333333,0.333333333
Hungary,NewsAPI,13,0.482115385,0.846153846,0.153846154
India,NewsAPI,15,0.191213333,0.6,0.2
Ireland,NewsAPI,13,0.229430769,0.538461538,0.307692308
Israel,NewsAPI,13,-0.297569231,0.307692308,0.692307692
Italy,NewsAPI,14,0.361514286,0.785714286,0.214285714
Japan,NewsAPI,14,0.1296,0.428571429,0.357142857
Lithuania,NewsAPI,15,0.542106667,0.8,0.066666667
Netherlands,NewsAPI,14,0.305971429,0.714285714,0.285714286
New Zealand,NewsAPI,15,0.40532,0.8,0.2
Norway,NewsAPI,15,0.55034,0.866666667,0.133333333
Poland,NewsAPI,15,0.237426667,0.6,0.266666667
Portugal,NewsAPI,14,0.27265,0.642857143,0.214285714
Romania,NewsAPI,14,0.088871429,0.5,0.357142857
Russia,NewsAPI,15,0.091206667,0.533333333,0.466666667
Saudi Arabia,NewsAPI,15,0.357806667,0.666666667,0.266666667
Singapore,NewsAPI,14,0.436728571,0.785714286,0.142857143
Slovakia,NewsAPI,14,0.466885714,0.785714286,0.142857143
Slovenia,NewsAPI,14,0.378085714,0.571428571,0.142857143
South Africa,NewsAPI,15,0.190053333,0.6,0.266666667
South Korea,NewsAPI,15,-0.009153333,0.4,0.533333333
Spain,NewsAPI,15,0.199546667,0.666666667,0.266666667
Sweden,NewsAPI,14,0.339971429,0.714285714,0.214285714
Switzerland,NewsAPI,15,0.104366667,0.533333333,0.4
TÃ¼rkiye,NewsAPI,15,0.209826667,0.6,0.266666667
United Kingdom,NewsAPI,14,0.398978571,0.714285714,0.214285714
United States,NewsAPI,14,-0.111992857,0.428571429,0.571428571
